model,accuracy,precision,recall,f1_score,auc,composite_score
Logistic Regression,0.4804054054054054,0.3460111317254174,0.8535469107551488,0.4924092409240924,0.636089786766303,0.5616924951152733
SVM,0.4452702702702703,0.33448275862068966,0.8878718535469108,0.4859110832811522,0.6334942989220936,0.5574060529282232
LightGBM,0.6466216216216216,0.387434554973822,0.33867276887871856,0.3614163614163614,0.5981425697304247,0.46645757532418963
