game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2331997,512.0,2.0,10.0,Mark Hughes,405.0,1.0,13.0,Paul Lambert,Home,1
2332021,984.0,1.0,16.0,Keith Downing,3008.0,1.0,12.0,Steve Bruce,Home,0
2332050,289.0,3.0,20.0,Gustavo Poyet,631.0,4.0,2.0,José Mourinho,Home,0
2332053,379.0,3.0,15.0,Sam Allardyce,931.0,0.0,18.0,Martin Jol,Home,1
2332064,512.0,2.0,14.0,Mark Hughes,289.0,0.0,20.0,Gustavo Poyet,Home,1
2332070,281.0,6.0,4.0,Manuel Pellegrini,148.0,0.0,9.0,André Villas-Boas,Home,1
2332074,1123.0,1.0,14.0,Chris Hughton,873.0,0.0,20.0,Tony Pulis,Home,1
2332184,762.0,0.0,8.0,Alan Pardew,29.0,3.0,6.0,Roberto Martínez,Home,0
2332188,180.0,2.0,9.0,Mauricio Pochettino,11.0,2.0,2.0,Arsène Wenger,Home,0
2332222,11.0,0.0,2.0,Arsène Wenger,985.0,0.0,7.0,David Moyes,Home,0
2332234,405.0,4.0,10.0,Paul Lambert,984.0,3.0,15.0,Pepe Mel,Home,1
2332235,873.0,1.0,14.0,Tony Pulis,3008.0,0.0,13.0,Steve Bruce,Home,1
2332259,29.0,2.0,5.0,Roberto Martínez,281.0,3.0,1.0,Manuel Pellegrini,Home,0
2332288,405.0,0.0,15.0,Paul Lambert,180.0,0.0,8.0,Mauricio Pochettino,Home,0
2332293,180.0,0.0,8.0,Mauricio Pochettino,603.0,1.0,20.0,Ole Gunnar Solskjaer,Home,0
2460296,11.0,2.0,3.0,Arsène Wenger,873.0,1.0,14.0,Keith Millen,Home,1
2460302,1039.0,0.0,18.0,Harry Redknapp,3008.0,1.0,8.0,Steve Bruce,Home,0
2486505,984.0,0.0,19.0,Alan Irvine,29.0,2.0,11.0,Roberto Martínez,Home,0
2486527,984.0,4.0,10.0,Alan Irvine,1132.0,0.0,20.0,Sean Dyche,Home,1
2486531,31.0,2.0,9.0,Brendan Rodgers,984.0,1.0,14.0,Alan Irvine,Home,1
2486545,180.0,8.0,3.0,Ronald Koeman,289.0,0.0,17.0,Gustavo Poyet,Home,1
2486547,512.0,2.0,10.0,Mark Hughes,2288.0,1.0,8.0,Garry Monk,Home,1
2486586,873.0,3.0,15.0,Neil Warnock,31.0,1.0,12.0,Brendan Rodgers,Home,1
2486630,3008.0,0.0,19.0,Steve Bruce,2288.0,1.0,8.0,Garry Monk,Home,0
2486669,11.0,3.0,5.0,Arsène Wenger,512.0,0.0,11.0,Mark Hughes,Home,1
2486684,762.0,1.0,11.0,John Carver,180.0,2.0,3.0,Ronald Koeman,Home,0
2486688,379.0,3.0,7.0,Sam Allardyce,3008.0,0.0,18.0,Steve Bruce,Home,1
2486706,2288.0,1.0,9.0,Garry Monk,289.0,1.0,14.0,Gustavo Poyet,Home,0
2486718,289.0,0.0,15.0,Gustavo Poyet,1039.0,2.0,17.0,Chris Ramsey,Home,0
2486810,631.0,1.0,1.0,José Mourinho,873.0,0.0,12.0,Alan Pardew,Home,1
2486837,984.0,3.0,13.0,Tony Pulis,631.0,0.0,1.0,José Mourinho,Home,1
2577883,2288.0,2.0,6.0,Garry Monk,762.0,0.0,15.0,Steve McClaren,Home,1
2577939,989.0,1.0,11.0,Eddie Howe,1003.0,1.0,3.0,Claudio Ranieri,Home,0
2577948,631.0,1.0,13.0,José Mourinho,873.0,2.0,2.0,Alan Pardew,Home,0
2577961,31.0,3.0,9.0,Brendan Rodgers,405.0,2.0,18.0,Tim Sherwood,Home,1
2577967,762.0,2.0,19.0,Steve McClaren,631.0,2.0,14.0,José Mourinho,Home,0
2577970,512.0,2.0,17.0,Mark Hughes,989.0,1.0,16.0,Eddie Howe,Home,1
2577973,2288.0,0.0,7.0,Garry Monk,29.0,0.0,6.0,Roberto Martínez,Home,0
2578002,11.0,2.0,2.0,Arsène Wenger,29.0,1.0,11.0,Roberto Martínez,Home,1
2578028,2288.0,2.0,14.0,Garry Monk,989.0,2.0,19.0,Eddie Howe,Home,0
2578031,1003.0,1.0,2.0,Claudio Ranieri,985.0,1.0,3.0,Louis van Gaal,Home,0
2578063,873.0,1.0,6.0,Alan Pardew,180.0,0.0,12.0,Ronald Koeman,Home,1
2578069,1123.0,1.0,18.0,Alex Neil,29.0,1.0,10.0,Roberto Martínez,Home,0
2578070,631.0,3.0,15.0,Steve Holland,289.0,1.0,19.0,Sam Allardyce,Home,1
2578079,762.0,1.0,17.0,Steve McClaren,405.0,1.0,20.0,Rémi Garde,Home,0
2578084,631.0,2.0,14.0,Guus Hiddink,984.0,2.0,13.0,Tony Pulis,Home,0
