season,player_id,total_goals,total_assists,total_yellow_cards,total_red_cards,total_loss,total__win,total_draw,avg_minutes_played,number_played
13/14,4205,4,2,1,1,13,1,7,62.42857142857143,21
13/14,4219,0,0,0,0,2,0,0,17.5,2
13/14,4233,0,0,0,0,12,5,4,90.0,21
13/14,4241,1,0,3,0,4,17,5,60.34615384615385,26
13/14,4267,0,0,0,0,7,14,15,90.0,36
13/14,4276,11,12,3,0,5,21,8,70.79411764705883,34
13/14,4277,0,0,6,0,10,6,5,80.04761904761905,21
13/14,4315,0,0,5,0,5,14,7,61.65384615384615,26
13/14,4321,6,8,9,0,7,15,13,87.54285714285714,35
13/14,4380,26,15,6,0,5,28,5,82.21052631578948,38
13/14,4592,0,3,1,0,9,3,8,67.15,20
13/14,4624,0,0,5,0,9,6,10,81.28,25
13/14,4672,0,0,0,0,0,0,1,90.0,1
13/14,4796,0,0,0,0,0,2,0,9.5,2
13/14,5285,4,6,3,0,5,25,4,90.0,34
13/14,5352,0,0,1,0,3,2,3,75.875,8
13/14,5652,2,2,2,1,7,10,4,39.19047619047619,21
13/14,5658,0,0,2,0,6,22,8,88.75,36
13/14,6106,1,0,3,0,12,7,6,62.08,25
13/14,6150,0,1,1,1,10,7,5,87.18181818181819,22
13/14,6710,3,0,3,1,6,19,9,89.05882352941177,34
13/14,6893,0,0,3,0,5,5,1,57.45454545454545,11
13/14,7330,0,0,4,0,5,5,1,82.45454545454545,11
13/14,7337,0,0,0,0,2,0,1,54.0,3
13/14,7449,0,3,3,0,4,18,6,82.5,28
13/14,7451,6,4,6,0,5,20,9,87.79411764705883,34
13/14,7767,8,9,6,0,7,20,9,71.41666666666667,36
13/14,7825,0,0,1,0,8,13,10,90.0,31
13/14,7858,0,1,1,0,2,4,6,30.583333333333332,12
13/14,8188,1,0,1,0,1,1,2,59.0,4
13/14,8552,11,5,0,0,19,9,6,86.20588235294117,34
13/14,8883,5,2,3,1,6,13,6,63.92,25
13/14,9218,1,5,2,0,12,8,8,49.0,28
13/14,9413,3,4,3,0,8,9,7,67.0,24
13/14,9508,6,9,6,0,18,9,9,81.83333333333333,36
13/14,9594,1,0,3,1,3,16,7,86.11538461538461,26
13/14,9813,0,1,2,0,12,2,9,79.47826086956522,23
13/14,9832,0,0,0,0,0,2,0,4.5,2
13/14,9956,0,0,0,0,2,1,0,11.666666666666666,3
13/14,9975,0,0,0,0,1,0,2,17.333333333333332,3
13/14,9988,1,1,4,0,4,16,7,74.48148148148148,27
13/14,10642,0,0,8,0,10,5,4,90.0,19
13/14,11680,0,0,0,0,8,3,5,82.625,16
13/14,12124,0,4,4,0,11,9,12,80.96875,32
13/14,12125,0,0,2,0,12,3,3,85.0,18
13/14,12127,3,0,6,0,11,6,9,85.53846153846153,26
13/14,12384,0,2,4,0,10,8,9,70.4074074074074,27
13/14,12516,5,3,1,1,12,10,3,50.96,25
13/14,12628,2,1,4,0,16,2,6,39.75,24
13/14,12691,0,2,9,0,12,9,8,86.0,29
13/14,12704,1,0,0,0,3,6,4,80.53846153846153,13
13/14,12763,4,1,0,0,7,10,14,41.32258064516129,31
13/14,13091,6,6,6,0,5,20,7,88.40625,32
13/14,13168,0,0,0,0,0,3,0,33.333333333333336,3
13/14,13239,3,1,1,0,6,4,6,50.5,16
13/14,13412,8,4,8,0,11,10,13,75.6470588235294,34
13/14,13426,0,4,0,0,11,1,5,84.94117647058823,17
13/14,13427,4,2,7,2,10,10,8,75.14285714285714,28
13/14,13443,0,0,1,0,1,0,2,74.66666666666667,3
13/14,13465,0,4,3,1,5,10,5,51.6,20
13/14,13507,5,7,4,0,7,16,15,90.0,38
13/14,13520,2,2,1,0,6,15,15,87.63888888888889,36
13/14,13572,0,0,0,0,13,11,6,90.0,30
13/14,13583,0,1,8,0,17,4,10,84.80645161290323,31
13/14,13616,0,0,5,0,8,5,11,72.08333333333333,24
13/14,13640,0,0,0,0,5,2,3,85.5,10
13/14,13683,1,0,11,0,8,7,11,53.57692307692308,26
13/14,13979,0,4,3,0,7,7,7,56.904761904761905,21
13/14,14007,0,0,3,0,10,1,7,60.0,18
13/14,14031,0,1,0,0,2,0,1,44.666666666666664,3
13/14,14041,1,0,3,0,19,4,7,88.2,30
13/14,14047,0,9,5,0,22,6,10,86.15789473684211,38
13/14,14066,5,7,0,0,14,10,12,70.11111111111111,36
13/14,14081,1,2,1,0,7,3,2,51.916666666666664,12
13/14,14086,0,5,1,0,3,15,1,72.21052631578948,19
13/14,14178,1,0,3,0,10,8,6,30.041666666666668,24
13/14,14221,4,8,1,0,6,20,8,83.44117647058823,34
13/14,14259,0,0,2,0,5,4,1,69.0,10
13/14,15074,5,0,4,1,15,5,9,70.0,29
13/14,15185,11,10,1,0,6,18,9,60.54545454545455,33
13/14,15220,0,0,1,0,7,5,8,87.75,20
13/14,15378,0,1,1,0,3,1,3,11.428571428571429,7
13/14,15773,1,0,5,0,8,6,4,54.666666666666664,18
13/14,15799,12,12,1,0,7,21,10,87.02631578947368,38
13/14,15904,0,0,3,0,7,16,6,77.13793103448276,29
13/14,15921,2,2,0,0,14,9,9,80.15625,32
13/14,15929,2,0,2,0,15,3,11,58.758620689655174,29
13/14,16576,1,1,5,0,11,6,9,86.84615384615384,26
13/14,16716,1,1,4,0,12,4,5,77.04761904761905,21
13/14,17273,0,0,2,0,11,7,7,85.48,25
13/14,17965,0,0,0,0,4,16,7,90.0,27
13/14,18301,0,0,0,0,1,5,3,57.333333333333336,9
13/14,18310,1,0,2,0,3,6,6,76.0,15
13/14,18324,4,1,1,0,5,9,2,70.4375,16
13/14,18871,1,9,4,0,17,9,8,81.88235294117646,34
13/14,18900,4,2,1,0,8,4,7,76.89473684210526,19
13/14,18935,2,7,3,1,5,16,7,64.35714285714286,28
13/14,19085,0,0,0,0,2,0,1,50.666666666666664,3
13/14,19368,1,3,4,0,4,21,7,74.5625,32
13/14,19641,4,0,4,0,19,9,8,87.36111111111111,36
13/14,19721,0,1,1,1,6,3,3,74.0,12
13/14,19726,1,0,2,0,2,14,3,85.15789473684211,19
13/14,20007,2,2,7,0,6,17,7,88.36666666666666,30
13/14,20586,1,0,1,0,6,4,3,49.53846153846154,13
13/14,20714,0,0,0,0,2,0,1,65.33333333333333,3
13/14,21496,1,2,1,0,12,5,10,52.851851851851855,27
13/14,22165,2,6,1,0,10,6,5,47.333333333333336,21
13/14,22412,0,1,0,0,13,2,9,87.41666666666667,24
13/14,22491,0,0,0,0,3,6,1,90.0,10
13/14,22614,6,8,8,0,13,10,14,82.75675675675676,37
13/14,22801,0,2,0,0,8,3,7,42.111111111111114,18
13/14,22832,3,0,3,1,9,14,12,88.57142857142857,35
13/14,23218,0,2,4,0,10,10,14,89.38235294117646,34
13/14,23825,3,2,1,0,7,6,2,70.33333333333333,15
13/14,24180,2,0,4,0,8,9,8,83.16,25
13/14,24589,3,5,3,0,13,9,11,73.66666666666667,33
13/14,24634,0,0,1,0,8,2,3,62.15384615384615,13
13/14,24862,0,1,2,0,4,7,7,31.444444444444443,18
13/14,24877,0,1,0,0,10,2,5,59.529411764705884,17
13/14,25248,0,1,5,0,15,14,7,90.0,36
13/14,25366,3,0,2,0,6,7,9,54.27272727272727,22
13/14,25523,1,0,5,0,12,2,6,58.6,20
13/14,25553,0,0,2,1,15,11,9,87.0,35
13/14,25742,7,1,4,0,7,15,15,65.72972972972973,37
13/14,26066,2,0,1,0,8,5,3,87.4375,16
13/14,26276,0,0,1,0,10,7,9,88.88461538461539,26
13/14,26399,12,3,2,0,4,19,7,64.86666666666666,30
13/14,26443,1,2,8,0,15,11,8,85.17647058823529,34
13/14,26633,0,0,0,0,16,6,7,90.0,29
13/14,26763,0,0,1,0,3,5,3,64.81818181818181,11
13/14,26764,0,0,2,0,3,16,6,89.6,25
13/14,27114,0,0,0,0,1,0,0,90.0,1
13/14,27306,0,0,4,0,7,5,2,83.42857142857143,14
13/14,27470,0,3,9,1,15,4,10,83.37931034482759,29
13/14,27505,0,2,0,0,14,5,5,22.75,24
13/14,27511,2,2,1,0,6,15,5,85.3076923076923,26
13/14,27577,7,4,3,0,6,17,6,68.93103448275862,29
13/14,27614,5,7,4,0,15,13,7,81.31428571428572,35
13/14,28245,3,2,0,0,12,7,7,40.03846153846154,26
13/14,28396,14,5,4,0,6,17,9,56.71875,32
13/14,28810,0,0,0,0,12,2,9,70.1304347826087,23
13/14,28878,1,0,0,0,10,2,9,89.66666666666667,21
13/14,28973,2,2,1,0,14,8,10,64.78125,32
13/14,28990,3,6,9,0,11,7,9,65.55555555555556,27
13/14,29016,0,0,2,0,6,2,2,90.0,10
13/14,29152,3,4,0,0,13,8,10,59.70967741935484,31
13/14,29159,0,0,0,0,1,1,1,75.0,3
13/14,29356,1,0,3,0,4,4,6,72.35714285714286,14
13/14,29434,6,2,8,0,10,9,7,81.65384615384616,26
13/14,29692,0,0,0,0,0,4,0,90.0,4
13/14,29712,0,0,0,0,4,5,6,89.46666666666667,15
13/14,29975,0,0,0,0,3,0,1,68.0,4
13/14,30379,1,0,2,0,7,1,6,90.0,14
13/14,30456,0,0,3,0,8,2,9,78.47368421052632,19
13/14,30670,0,1,3,0,14,7,4,69.24,25
13/14,30697,2,0,1,0,11,8,8,88.55555555555556,27
13/14,30739,0,0,3,0,5,12,5,73.95454545454545,22
13/14,31067,5,6,6,0,13,11,13,77.16216216216216,37
13/14,31095,1,2,0,0,1,2,4,64.85714285714286,7
13/14,31552,1,0,0,0,2,6,4,17.0,12
13/14,31553,1,1,3,1,10,5,5,60.8,20
13/14,31579,5,9,3,0,17,9,9,83.97142857142858,35
13/14,31642,0,2,5,0,13,9,13,75.34285714285714,35
13/14,31645,1,1,1,0,3,12,2,48.470588235294116,17
13/14,31720,1,5,5,0,17,9,12,78.8157894736842,38
13/14,31835,4,4,7,0,11,10,7,81.64285714285714,28
13/14,32617,0,0,2,0,1,6,0,88.28571428571429,7
13/14,33027,0,1,0,0,13,7,4,88.625,24
13/14,33195,0,0,0,0,0,2,0,90.0,2
13/14,33478,0,1,7,1,14,7,3,73.25,24
13/14,33481,5,3,1,0,3,8,7,56.44444444444444,18
13/14,33484,0,0,1,0,3,2,3,70.25,8
13/14,33544,1,7,6,0,4,21,5,73.6,30
13/14,33639,6,6,3,0,5,12,10,68.0,27
13/14,33706,1,3,1,0,2,8,1,57.18181818181818,11
13/14,33713,14,12,3,0,6,17,9,71.40625,32
13/14,33781,0,0,0,0,3,3,3,90.0,9
13/14,33783,0,0,3,0,13,2,11,80.57692307692308,26
13/14,33785,0,0,0,0,1,0,0,26.0,1
13/14,33822,5,2,1,0,7,4,7,74.27777777777777,18
13/14,33829,2,1,5,0,13,5,9,85.70370370370371,27
13/14,33873,0,0,3,0,14,9,15,90.0,38
13/14,33951,3,2,3,0,11,9,14,87.11764705882354,34
13/14,33952,8,4,6,0,18,11,7,83.38888888888889,36
13/14,34672,2,3,6,0,12,11,10,82.51515151515152,33
13/14,34838,0,1,1,0,8,3,2,60.0,13
13/14,35035,0,0,0,0,2,1,2,30.4,5
13/14,35099,11,3,3,0,12,7,9,84.64285714285714,28
13/14,35251,1,1,2,0,3,2,1,23.833333333333332,6
13/14,35518,4,10,2,0,5,19,8,78.8125,32
13/14,35571,2,5,1,0,5,13,11,77.82758620689656,29
13/14,35855,3,3,3,0,11,4,11,42.61538461538461,26
13/14,36233,0,0,2,0,3,0,2,86.2,5
13/14,36350,2,0,5,0,3,16,5,62.291666666666664,24
13/14,36608,1,3,3,0,12,9,5,67.6923076923077,26
13/14,36814,2,7,4,0,12,12,7,70.35483870967742,31
13/14,36827,5,1,4,1,6,20,8,86.6470588235294,34
13/14,36866,1,3,8,0,11,10,6,81.85185185185185,27
13/14,37011,3,5,5,0,14,10,13,62.351351351351354,37
13/14,37148,9,5,4,0,12,7,9,78.21428571428571,28
13/14,37157,7,6,1,1,16,9,10,82.77142857142857,35
13/14,37171,6,2,10,1,16,6,11,85.81818181818181,33
13/14,37304,8,5,3,0,15,13,6,63.470588235294116,34
13/14,37363,0,0,2,0,3,1,6,66.4,10
13/14,37442,0,2,3,0,10,5,4,80.26315789473684,19
13/14,37526,1,1,8,0,16,12,8,87.36111111111111,36
13/14,37712,0,0,0,0,0,2,1,29.0,3
13/14,37934,3,3,0,0,14,8,7,52.03448275862069,29
13/14,38003,2,1,1,0,1,3,1,76.4,5
13/14,38145,1,0,5,0,17,5,7,90.0,29
13/14,39010,3,1,4,1,18,8,6,47.4375,32
13/14,39037,0,1,2,0,5,3,2,83.4,10
13/14,39049,1,1,0,0,5,2,4,59.72727272727273,11
13/14,39381,21,8,6,0,6,19,8,88.63636363636364,33
13/14,39471,0,0,2,0,15,10,11,90.0,36
13/14,39532,6,6,2,0,5,12,9,66.03846153846153,26
13/14,39642,5,9,2,0,12,8,9,82.20689655172414,29
13/14,39679,11,6,9,0,6,13,12,89.87096774193549,31
13/14,39700,0,0,0,0,0,1,0,6.0,1
13/14,39909,1,5,0,0,14,5,3,45.36363636363637,22
13/14,40043,0,0,4,0,12,10,11,76.72727272727273,33
13/14,40204,0,0,1,0,6,23,9,90.0,38
13/14,40205,15,4,0,0,12,15,7,74.73529411764706,34
13/14,40429,0,1,0,0,0,1,0,45.0,1
13/14,40567,3,3,3,0,16,13,7,90.0,36
13/14,40611,0,0,1,0,5,8,6,67.52631578947368,19
13/14,40613,0,1,1,0,7,8,13,86.78571428571429,28
13/14,40614,0,0,1,0,6,0,3,90.0,9
13/14,40822,0,0,0,0,5,1,1,18.714285714285715,7
13/14,41414,0,1,7,0,6,13,7,75.03846153846153,26
13/14,41416,3,2,7,0,17,8,9,70.82352941176471,34
13/14,41818,0,0,1,0,1,1,2,12.25,4
13/14,42284,0,1,2,0,7,1,4,85.0,12
13/14,42411,1,0,0,0,6,2,4,21.333333333333332,12
13/14,42412,3,2,2,0,2,18,3,82.73913043478261,23
13/14,42413,1,2,4,1,5,11,7,78.56521739130434,23
13/14,43193,1,2,3,0,9,7,8,39.166666666666664,24
13/14,43250,5,3,7,0,7,19,8,90.0,34
13/14,43261,0,2,0,0,6,5,3,29.214285714285715,14
13/14,43530,3,6,2,0,14,7,9,74.63333333333334,30
13/14,43853,0,0,1,0,10,4,6,89.5,20
13/14,44058,0,0,1,0,4,14,7,90.0,25
13/14,44065,1,1,7,0,14,2,8,69.29166666666667,24
13/14,44068,12,16,3,0,6,22,7,78.31428571428572,35
13/14,44352,23,11,10,0,9,12,12,89.54545454545455,33
13/14,44760,1,1,2,0,8,4,6,34.611111111111114,18
13/14,44792,0,5,2,0,4,14,9,77.85185185185185,27
13/14,44913,1,1,0,0,7,0,6,31.0,13
13/14,44966,0,0,1,0,3,1,1,71.2,5
13/14,44983,0,0,0,0,1,0,2,14.0,3
13/14,45121,6,0,1,0,8,2,4,81.57142857142857,14
13/14,45146,1,1,2,0,1,7,6,42.07142857142857,14
13/14,45272,2,2,4,1,12,11,5,89.85714285714286,28
13/14,45287,5,5,5,0,18,2,11,72.41935483870968,31
13/14,45330,0,0,6,0,12,12,6,82.66666666666667,30
13/14,45333,3,2,7,0,20,9,9,88.8157894736842,38
13/14,45395,2,1,2,0,14,8,8,68.06666666666666,30
13/14,45861,1,4,10,0,14,9,14,90.0,37
13/14,46001,3,1,2,0,6,5,1,89.08333333333333,12
13/14,46106,12,2,3,0,19,5,10,43.970588235294116,34
13/14,46154,0,0,0,0,0,0,1,3.0,1
13/14,46156,1,2,5,0,4,12,4,52.55,20
13/14,46220,3,8,3,0,12,8,10,73.33333333333333,30
13/14,46741,2,2,8,0,4,20,6,87.8,30
13/14,46831,2,2,2,0,7,6,4,24.058823529411764,17
13/14,47082,11,5,2,0,4,8,9,59.61904761904762,21
13/14,47344,0,0,3,0,6,2,1,76.88888888888889,9
13/14,47768,0,1,1,0,12,4,3,86.57894736842105,19
13/14,47995,5,6,1,0,11,7,14,64.5625,32
13/14,48066,7,4,6,0,11,9,6,75.15384615384616,26
13/14,49319,0,0,2,1,9,5,9,80.56521739130434,23
13/14,49327,1,3,10,0,13,10,14,87.21621621621621,37
13/14,49409,1,0,8,0,13,8,6,67.37037037037037,27
13/14,49542,0,0,0,0,2,0,0,9.0,2
13/14,49655,15,7,2,0,15,9,14,82.39473684210526,38
13/14,49693,7,4,4,0,13,10,7,75.1,30
13/14,50057,1,4,5,0,6,20,10,57.94444444444444,36
13/14,50174,1,1,6,0,12,7,8,82.25925925925925,27
13/14,50201,19,4,9,0,15,10,9,82.97058823529412,34
13/14,50202,9,14,2,0,6,20,8,77.58823529411765,34
13/14,50219,0,0,1,0,17,9,12,90.0,38
13/14,50362,0,0,7,0,11,5,8,70.95833333333333,24
13/14,50935,10,5,1,0,4,14,4,43.04545454545455,22
13/14,50987,0,0,0,0,0,0,1,10.0,1
13/14,51040,4,4,0,0,9,6,5,63.15,20
13/14,51318,0,1,0,0,3,2,0,59.0,5
13/14,51452,0,0,2,0,7,12,8,71.07407407407408,27
13/14,51681,0,0,5,1,9,6,11,86.15384615384616,26
13/14,53360,6,8,4,0,14,8,13,62.31428571428572,35
13/14,54170,5,4,10,0,7,19,9,72.02857142857142,35
13/14,54275,0,0,0,0,2,5,1,49.375,8
13/14,55508,0,2,2,0,1,6,4,46.18181818181818,11
13/14,55709,0,1,0,0,8,1,2,20.272727272727273,11
13/14,56818,5,1,9,0,13,9,14,89.13888888888889,36
13/14,57079,2,0,2,0,1,6,4,45.36363636363637,11
13/14,57275,0,0,0,0,1,1,2,18.25,4
13/14,57480,0,0,0,0,6,6,2,74.07142857142857,14
13/14,57488,0,0,0,0,2,1,1,17.75,4
13/14,57500,0,6,4,0,5,14,8,81.37037037037037,27
13/14,58361,0,0,0,0,1,0,3,11.5,4
13/14,58993,2,3,1,0,17,3,6,55.73076923076923,26
13/14,59340,0,0,0,0,1,0,0,5.0,1
13/14,59377,0,0,0,0,2,22,4,90.0,28
13/14,59783,5,5,5,0,19,8,8,60.94285714285714,35
13/14,59866,1,1,0,0,6,12,6,50.458333333333336,24
13/14,61447,1,1,2,0,12,3,6,76.38095238095238,21
13/14,61559,0,4,0,0,6,2,1,52.111111111111114,9
13/14,61560,0,0,0,0,4,1,4,47.666666666666664,9
13/14,61561,0,2,3,0,11,6,7,67.83333333333333,24
13/14,61568,2,0,2,0,8,5,4,37.0,17
13/14,61572,0,0,1,0,4,1,4,83.77777777777777,9
13/14,61575,0,1,6,0,6,5,6,66.82352941176471,17
13/14,61588,0,0,0,0,1,2,1,5.5,4
13/14,61592,1,1,5,0,13,8,5,66.61538461538461,26
13/14,61644,0,0,4,0,15,9,11,80.4,35
13/14,61651,5,4,3,0,7,15,8,51.0,30
13/14,61711,2,2,0,0,11,4,5,31.8,20
13/14,61832,0,0,2,0,3,6,2,37.81818181818182,11
13/14,61842,2,2,2,0,9,6,2,61.588235294117645,17
13/14,61891,0,0,3,0,9,4,8,54.095238095238095,21
13/14,61892,3,4,6,1,4,21,3,82.71428571428571,28
13/14,62052,0,1,0,0,6,1,2,38.0,9
13/14,62094,0,0,0,0,1,0,1,18.0,2
13/14,62240,1,1,6,1,18,8,7,85.3030303030303,33
13/14,62638,0,0,4,0,12,8,6,77.38461538461539,26
13/14,62642,0,0,0,0,1,0,0,45.0,1
13/14,65976,7,2,0,0,16,3,6,51.0,25
13/14,66100,0,0,1,0,1,2,3,39.166666666666664,6
13/14,66219,0,1,0,0,3,8,3,75.78571428571429,14
13/14,66333,0,0,0,0,0,1,1,11.0,2
13/14,66550,3,1,7,0,12,11,10,83.33333333333333,33
13/14,67063,1,4,1,0,4,22,1,47.888888888888886,27
13/14,67252,1,0,2,0,6,6,3,71.06666666666666,15
13/14,67303,3,2,1,0,14,6,11,86.7741935483871,31
13/14,67322,5,3,2,0,10,10,10,71.86666666666666,30
13/14,67339,0,0,0,0,1,1,0,90.0,2
13/14,67346,0,0,0,0,1,0,0,90.0,1
13/14,67355,0,0,7,0,13,11,13,90.0,37
13/14,67369,0,1,2,0,7,2,2,35.36363636363637,11
13/14,67416,0,0,0,0,3,2,1,46.333333333333336,6
13/14,67421,0,0,0,0,1,1,0,73.5,2
13/14,68183,0,0,0,0,0,0,3,21.333333333333332,3
13/14,68390,0,5,4,0,4,12,10,83.23076923076923,26
13/14,69653,3,3,0,0,19,4,8,50.67741935483871,31
13/14,70245,0,0,0,0,0,1,0,3.0,1
13/14,70789,18,3,6,0,13,9,13,86.05714285714286,35
13/14,70950,3,0,3,0,13,11,9,78.96969696969697,33
13/14,71020,0,1,0,0,2,3,3,20.875,8
13/14,71096,1,2,1,0,6,1,5,50.666666666666664,12
13/14,71107,0,0,0,0,2,0,0,45.0,2
13/14,71292,1,0,3,1,6,7,6,48.31578947368421,19
13/14,73484,2,3,1,0,2,17,3,66.0909090909091,22
13/14,73734,1,1,9,1,14,9,12,88.82857142857142,35
13/14,74223,0,5,5,0,5,15,5,67.88,25
13/14,74590,1,2,4,0,6,12,4,80.77272727272727,22
13/14,74869,0,0,0,0,1,6,4,20.545454545454547,11
13/14,76277,2,1,1,1,2,16,7,66.96,25
13/14,77737,0,1,3,0,8,4,4,81.0625,16
13/14,78959,0,0,0,0,2,0,2,84.0,4
13/14,79723,2,1,0,0,10,2,4,82.9375,16
13/14,80444,3,7,0,0,2,7,4,71.53846153846153,13
13/14,81785,6,4,1,0,3,14,3,66.2,20
13/14,81789,0,0,2,0,11,9,12,89.125,32
13/14,81796,0,3,3,0,10,7,12,70.37931034482759,29
13/14,82442,11,5,3,1,7,18,9,68.44117647058823,34
13/14,84344,1,4,4,0,15,10,6,85.25806451612904,31
13/14,85177,1,3,2,0,15,9,10,88.8529411764706,34
13/14,85314,4,8,2,0,7,19,8,67.44117647058823,34
13/14,85706,0,0,1,0,3,2,2,67.28571428571429,7
13/14,85935,2,4,4,0,15,9,12,64.80555555555556,36
13/14,88067,0,2,0,0,8,1,2,71.0909090909091,11
13/14,88750,0,0,0,0,2,0,0,3.0,2
13/14,90273,0,0,1,0,0,1,2,71.0,3
13/14,90466,3,4,0,0,6,20,7,37.06060606060606,33
13/14,90964,0,4,4,0,12,6,7,73.64,25
13/14,91317,0,7,2,0,12,10,8,82.0,30
13/14,91956,0,0,0,0,0,1,1,24.5,2
13/14,92109,0,1,5,0,8,7,8,79.17391304347827,23
13/14,92381,0,1,1,0,5,2,1,27.75,8
13/14,93056,0,1,1,0,2,2,2,37.0,6
13/14,94655,0,0,0,0,4,3,3,29.7,10
13/14,95424,0,5,5,0,7,20,9,87.77777777777777,36
13/14,95435,0,0,0,0,8,1,3,36.583333333333336,12
13/14,95976,0,0,0,0,6,1,6,90.0,13
13/14,96341,17,7,3,0,16,12,7,57.25714285714286,35
13/14,96754,1,0,0,0,5,5,3,39.07692307692308,13
13/14,98240,1,1,6,1,14,7,8,86.13793103448276,29
13/14,101118,0,0,0,0,4,3,2,90.0,9
13/14,102258,2,3,10,0,16,10,11,88.29729729729729,37
13/14,102427,0,0,0,0,0,3,2,46.8,5
13/14,103427,0,0,1,0,1,14,0,67.73333333333333,15
13/14,104725,1,0,0,0,7,5,7,24.68421052631579,19
