season,player_id,total_goals,total_assists,total_yellow_cards,total_red_cards,total_loss,total__win,total_draw,avg_minutes_played,number_played
13/14,65,15,4,1,0,14,10,9,86.33333333333333,33
13/14,132,2,1,2,0,2,7,1,61.2,10
13/14,488,0,0,0,0,5,5,4,79.21428571428571,14
13/14,1094,0,0,2,0,2,2,2,24.833333333333332,6
13/14,1327,0,0,1,0,3,0,0,46.333333333333336,3
13/14,1368,0,2,2,0,12,10,9,79.90322580645162,31
13/14,1397,1,0,0,0,5,0,3,11.75,8
13/14,1573,0,0,0,0,2,3,2,50.0,7
13/14,1662,1,6,4,0,15,11,9,86.97142857142858,35
13/14,2874,5,2,0,0,13,5,5,38.130434782608695,23
13/14,2953,0,1,6,0,6,4,4,90.0,14
13/14,2998,1,0,5,0,12,9,14,90.0,35
13/14,3109,10,9,5,0,9,14,13,89.5,36
13/14,3118,0,1,1,0,3,1,0,49.0,4
13/14,3130,0,0,3,0,7,4,5,73.8125,16
13/14,3146,0,0,0,0,2,0,0,90.0,2
13/14,3156,1,0,2,0,6,11,2,80.3157894736842,19
13/14,3160,4,0,1,0,2,10,2,67.78571428571429,14
13/14,3163,15,1,2,0,4,21,4,65.62068965517241,29
13/14,3179,2,2,2,1,15,5,7,50.51851851851852,27
13/14,3182,1,2,3,0,4,20,7,90.0,31
13/14,3190,0,0,0,0,4,0,0,90.0,4
13/14,3195,0,0,0,0,0,0,1,65.0,1
13/14,3202,0,0,2,0,3,10,2,61.06666666666667,15
13/14,3220,0,5,4,0,12,10,9,81.61290322580645,31
13/14,3235,1,2,2,0,3,21,4,82.96428571428571,28
13/14,3259,3,7,0,0,13,9,9,75.38709677419355,31
13/14,3273,1,0,0,0,0,0,1,90.0,1
13/14,3276,1,2,5,0,13,5,5,29.52173913043478,23
13/14,3291,1,4,6,0,5,19,7,77.41935483870968,31
13/14,3306,8,3,4,0,14,9,15,87.10526315789474,38
13/14,3332,12,10,7,0,4,19,4,74.77777777777777,27
13/14,3333,4,4,1,1,5,16,5,66.23076923076923,26
13/14,3356,0,2,2,0,5,14,15,83.44117647058823,34
13/14,3357,0,0,0,0,16,10,10,90.0,36
13/14,3397,1,1,7,0,3,11,2,47.6875,16
13/14,3404,0,1,4,0,2,9,7,86.16666666666667,18
13/14,3406,2,3,0,0,4,14,4,53.04545454545455,22
13/14,3461,2,0,1,0,7,2,4,63.46153846153846,13
13/14,3467,1,1,0,0,10,3,7,62.45,20
13/14,3476,0,0,0,0,4,5,2,90.0,11
13/14,3540,2,3,3,0,15,8,11,88.02941176470588,34
13/14,3547,1,0,0,0,0,3,0,60.333333333333336,3
13/14,3548,1,0,2,0,8,1,6,61.0,15
13/14,3560,0,0,0,0,5,2,3,40.4,10
13/14,3562,0,0,0,0,2,2,2,76.33333333333333,6
13/14,3580,0,0,1,0,12,6,6,88.125,24
13/14,3597,0,1,4,0,3,14,7,63.541666666666664,24
13/14,3614,0,0,1,0,1,2,3,71.83333333333333,6
13/14,3620,5,2,8,0,6,16,14,88.38888888888889,36
13/14,3634,0,4,1,0,8,4,4,85.0,16
13/14,3666,0,1,2,0,5,1,5,64.36363636363636,11
13/14,3692,0,0,2,0,16,12,10,90.0,38
13/14,3698,0,0,2,0,8,1,4,70.3076923076923,13
13/14,3775,0,2,2,0,5,5,2,73.25,12
13/14,3785,0,3,1,0,2,12,7,65.04761904761905,21
13/14,3788,0,0,2,0,10,8,13,55.67741935483871,31
13/14,3791,1,1,8,0,15,5,5,83.4,25
13/14,3838,0,0,0,0,4,3,1,90.0,8
13/14,3875,11,4,4,0,8,19,7,70.94117647058823,34
13/14,3876,3,1,2,0,8,5,4,46.23529411764706,17
13/14,3878,1,4,3,0,4,27,5,84.52777777777777,36
13/14,3881,1,5,7,0,9,16,11,89.63888888888889,36
13/14,3950,10,2,6,0,15,10,10,85.34285714285714,35
13/14,3966,3,1,0,0,11,1,6,61.611111111111114,18
13/14,3995,1,3,2,0,9,8,7,60.041666666666664,24
13/14,4015,0,0,0,0,5,0,6,16.727272727272727,11
13/14,4042,0,0,0,0,1,3,3,90.0,7
13/14,4063,3,5,0,0,8,12,9,75.6896551724138,29
13/14,4070,0,2,6,0,14,12,4,82.8,30
13/14,4072,7,6,2,0,11,8,15,68.61764705882354,34
13/14,4075,3,2,0,0,5,5,6,32.0625,16
13/14,4094,0,0,0,0,1,2,2,33.4,5
13/14,4095,0,0,1,0,4,1,1,85.33333333333333,6
13/14,4111,0,0,0,0,5,5,2,78.25,12
13/14,4112,0,0,0,0,0,0,1,10.0,1
13/14,4115,2,0,5,0,6,6,7,69.26315789473684,19
13/14,4192,0,0,0,0,1,0,1,42.0,2
