Rank,Medal,Model,Composite_Score,Accuracy,Precision,Recall,F1_Score,AUC
1,🥇,XGBoost,0.4746,0.5921,0.3826,0.6159,0.472,0.6297
2,🥈,Logistic Regression,0.4537,0.4729,0.3376,0.811,0.4767,0.5967
3,🥉,SVM,0.4409,0.4747,0.3307,0.7561,0.4601,0.5874
4,,Gradient Boosting,0.4156,0.7022,0.4894,0.1402,0.218,0.6309
5,,LightGBM,0.4093,0.6534,0.3833,0.2805,0.3239,0.5813
6,,KNN,0.3948,0.6968,0.4565,0.128,0.2,0.5535
7,,Decision Tree,0.3446,0.6751,0.3571,0.122,0.1818,0.5148
8,,Random Forest,0.1397,0.6986,0.0,0.0,0.0,0.6129
