model,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_auc,composite_score
Logistic Regression (L2),0.41223609253597615,0.008158142874520451,0.4657039711191336,0.33248730964467005,0.7987804878048781,0.46953405017921146,0.5997029393370856,0.44687398191594596
Logistic Regression (L1),0.3968222700054402,0.01011918188380157,0.4566787003610108,0.327455919395466,0.7926829268292683,0.46345811051693403,0.5904784240150094,0.44062383366839564
LightGBM (Regularized),0.43145421975861387,0.013112260953440863,0.5054151624548736,0.3312883435582822,0.6585365853658537,0.44081632653061226,0.6203095684803003,0.43169692641005664
XGBoost (Regularized),0.43963393625729097,0.05579674260356502,0.7075812274368231,0.5277777777777778,0.11585365853658537,0.19,0.6149937460913071,0.42121272245213426
