Model,Composite_Score,Is_Best,Rank
Logistic Regression,0.5593513410892158,✅,1
SVM,0.5248130969065485,,2
LightGBM,0.5121554633022456,,3
Gradient Boosting,0.4506259411088232,,4
XGBoost,0.4367661252392038,,5
Decision Tree,0.4126722655961661,,6
KNN,0.40592343292767247,,7
Random Forest,0.39976666168164854,,8
