Model,Composite_Score,Rank,Is_Best
LightGBM,0.3107712418300654,1,Yes
Logistic Regression,0.25994284332811646,2,No
SVM,0.23615064562410332,3,No
Decision Tree,0.23354473743520401,4,No
Gradient Boosting,0.20800000000000002,5,No
XGBoost,0.20407843137254905,6,No
KNN,0.172156862745098,7,No
Random Forest,0.17109803921568628,8,No
